Date,Type,Value,Transaction Currency,Gross Amount,Currency Gross Amount,Exchange Rate,Fees,Taxes,Shares,ISIN,WKN,Ticker Symbol,Security Name,Note
2023-10-17T00:00,Buy,"45,667.08",USD,,,,4.50,0.00,900,US46137V2410,319359474,SPHQ,INVESCO S&P 500 QUALITY ETF,Trade-ID: 5794728788 | Transaction-ID: 25331203099
2023-10-23T00:00,Buy,18.90,USD,,,,0.00,0.00,1,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5806762035 | Transaction-ID: 25384921961
2023-10-23T00:00,Buy,19.09,USD,,,,0.19,0.00,1,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5806757594 | Transaction-ID: 25384914330
2023-10-23T00:00,Buy,25.23,USD,,,,0.00,0.00,1,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806717966 | Transaction-ID: 25384878427
2023-10-23T00:00,Buy,50.47,USD,,,,0.01,0.00,2,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806718269 | Transaction-ID: 25384878947
2023-10-23T00:00,Buy,50.47,USD,,,,0.01,0.00,2,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806718063 | Transaction-ID: 25384878612
2023-10-23T00:00,Buy,428.99,USD,,,,0.08,0.00,17,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806718127 | Transaction-ID: 25384878718
2023-10-23T00:00,Buy,757.90,USD,,,,1.00,0.00,30,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806717416 | Transaction-ID: 25384877301
2023-10-23T00:00,Buy,"1,261.50",USD,,,,0.00,0.00,50,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806717424 | Transaction-ID: 25384877345
2023-10-23T00:00,Buy,"1,261.75",USD,,,,0.25,0.00,50,US37954Y8710,211651685,URA,GLOBAL X URANIUM ETF,Trade-ID: 5806718659 | Transaction-ID: 25384879483
